ID,Gemeente,Bevolking,niscode,DATE,COUNT,color
496,BILZEN,32465,73006,2020-03-31,8,red
497,BORGLOON,11010,73009,2020-03-31,4,red
498,HEERS,7338,73022,2020-03-31,3,blue
499,HERSTAPPE,79,73028,2020-03-31,0,red
500,HOESELT,9731,73032,2020-03-31,1,yellow
501,KORTESSEM,8438,73040,2020-03-31,1,blue
502,LANAKEN,25875,73042,2020-03-31,10,green
503,RIEMST,16744,73066,2020-03-31,2,blue
504,TONGEREN,31139,73083,2020-03-31,2,yellow
505,WELLEN,7353,73098,2020-03-31,2,blue
506,MAASMECHELEN,38885,73107,2020-03-31,3,yellow
507,VOEREN,4177,73109,2020-03-31,0,blue
508,AARLEN,30047,81001,2020-03-31,5,blue
509,ATTERT,5647,81003,2020-03-31,0,yellow
510,AUBANGE,17075,81004,2020-03-31,1,red
511,MARTELANGE,1857,81013,2020-03-31,0,yellow
512,MESSANCY,8266,81015,2020-03-31,0,blue
513,BASTENAKEN,16271,82003,2020-03-31,1,green
514,BERTOGNE,3657,82005,2020-03-31,0,green
515,FAUVILLERS,2316,82009,2020-03-31,0,green
516,HOUFFALIZE,5212,82014,2020-03-31,0,blue
517,VIELSALM,7892,82032,2020-03-31,0,blue
518,VAUX-SUR-SURE,5736,82036,2020-03-31,0,red
519,GOUVY,5393,82037,2020-03-31,0,green
520,SAINTE-ODE,2599,82038,2020-03-31,0,yellow
521,DURBUY,11456,83012,2020-03-31,1,green
522,EREZEE,3262,83013,2020-03-31,0,green
523,HOTTON,5629,83028,2020-03-31,0,blue
524,LA ROCHE-EN-ARDENNE,4194,83031,2020-03-31,0,red
525,MARCHE-EN-FAMENNE,17581,83034,2020-03-31,0,yellow
526,NASSOGNE,5568,83040,2020-03-31,0,red
527,RENDEUX,2629,83044,2020-03-31,0,blue
528,TENNEVILLE,2849,83049,2020-03-31,0,red
529,MANHAY,3565,83055,2020-03-31,0,red
530,BERTRIX,8849,84009,2020-03-31,1,green
531,BOUILLON,5424,84010,2020-03-31,0,green
532,DAVERDISSE,1385,84016,2020-03-31,0,green
533,HERBEUMONT,1646,84029,2020-03-31,0,yellow
534,LEGLISE,5559,84033,2020-03-31,1,red
535,LIBIN,5247,84035,2020-03-31,0,red
536,NEUFCHATEAU,7779,84043,2020-03-31,1,red
537,PALISEUL,5393,84050,2020-03-31,0,green
538,SAINT-HUBERT,5604,84059,2020-03-31,0,yellow
539,TELLIN,2447,84068,2020-03-31,0,blue
540,WELLIN,3113,84075,2020-03-31,0,yellow
541,LIBRAMONT-CHEVIGNY,11316,84077,2020-03-31,1,blue
542,CHINY,5228,85007,2020-03-31,0,yellow
543,ETALLE,5958,85009,2020-03-31,0,green
544,FLORENVILLE,5585,85011,2020-03-31,0,yellow
545,MEIX-DEVANT-VIRTON,2805,85024,2020-03-31,0,red
546,MUSSON,4656,85026,2020-03-31,0,blue
547,SAINT-LEGER,3661,85034,2020-03-31,0,blue
548,TINTIGNY,4305,85039,2020-03-31,0,red
549,VIRTON,11324,85045,2020-03-31,0,yellow
550,HABAY,8478,85046,2020-03-31,0,red
551,ROUVROY,2108,85047,2020-03-31,0,red
552,ANHEE,7142,91005,2020-03-31,0,green
553,BEAURAING,9093,91013,2020-03-31,0,yellow
554,BIEVRE,3368,91015,2020-03-31,0,yellow
555,CINEY,16698,91030,2020-03-31,4,red
556,DINANT,13382,91034,2020-03-31,0,red
557,GEDINNE,4651,91054,2020-03-31,0,red
558,HAMOIS,7375,91059,2020-03-31,0,yellow
559,HAVELANGE,5240,91064,2020-03-31,0,blue
560,HOUYET,5003,91072,2020-03-31,0,yellow
561,ONHAYE,3231,91103,2020-03-31,1,red
562,ROCHEFORT,12564,91114,2020-03-31,2,yellow
563,SOMME-LEUZE,5794,91120,2020-03-31,0,blue
564,YVOIR,9116,91141,2020-03-31,0,green
565,HASTIERE,6025,91142,2020-03-31,0,yellow
566,VRESSE-SUR-SEMOIS,2577,91143,2020-03-31,0,blue
567,ANDENNE,27583,92003,2020-03-31,0,red
568,ASSESSE,7098,92006,2020-03-31,0,green
569,EGHEZEE,16440,92035,2020-03-31,2,yellow
570,FLOREFFE,8145,92045,2020-03-31,0,yellow
571,FOSSES-LA-VILLE,10467,92048,2020-03-31,1,green
572,GESVES,7207,92054,2020-03-31,0,yellow
573,METTET,13157,92087,2020-03-31,0,green
574,NAMEN,111127,92094,2020-03-31,6,red
575,OHEY,5136,92097,2020-03-31,0,red
576,PROFONDEVILLE,12187,92101,2020-03-31,0,red
577,SOMBREFFE,8493,92114,2020-03-31,0,yellow
578,SAMBREVILLE,28353,92137,2020-03-31,0,red
579,FERNELMONT,8066,92138,2020-03-31,0,red
580,JEMEPPE-SUR-SAMBRE,19123,92140,2020-03-31,0,blue
581,LA BRUYERE,9242,92141,2020-03-31,2,blue
582,GEMBLOUX,26127,92142,2020-03-31,0,yellow
583,CERFONTAINE,4983,93010,2020-03-31,0,red
584,COUVIN,13826,93014,2020-03-31,0,yellow
585,DOISCHE,2968,93018,2020-03-31,0,red
586,FLORENNES,11261,93022,2020-03-31,0,red
587,PHILIPPEVILLE,9185,93056,2020-03-31,0,green
588,WALCOURT,18402,93088,2020-03-31,0,yellow
589,VIROINVAL,5639,93090,2020-03-31,2,red
